food,energy_kcal,protein_g,saturated_fats_g,fat,carbohydrates,fiber,sugars,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mcg,manganese_mg,selenium_mcg,vitc_mg,thiamin_mg,riboflavin_mg,niacin_mg,vitb6_mg,folate_mcg,vitb12_mcg,vita_mcg,vite_mg,vitd2_mcg,category
ostrich oyster ckd,159.0,28.81,1.69,3.97,0.0,0.0,0.0,6.0,4.9,29,281.0,409.0,81.0,4.94,0.18,0.023,46.5,0.0,0.235,0.296,7.224,0.551,16.0,6.32,0.0,0.23,0.0,
ostrich rnd raw,116.0,21.99,0.81,2.4,0.0,0.0,0.0,5.0,3.54,22,216.0,315.0,72.0,3.8,0.139,0.018,35.8,0.0,0.198,0.29,4.761,0.517,8.0,5.01,0.0,0.2,0.0,
ostrich tenderloin raw,123.0,22.07,1.17,3.19,0.0,0.0,0.0,6.0,4.88,22,220.0,320.0,86.0,3.87,0.141,0.018,36.4,0.0,0.198,0.291,4.7780000000000005,0.519,8.0,5.03,0.0,0.21,0.0,
ostrich tip raw,114.0,21.85,0.86,2.3,0.0,0.0,0.0,5.0,2.86,22,213.0,310.0,67.0,3.74,0.1369999999999999,0.018,35.2,0.0,0.196,0.288,4.73,0.514,8.0,4.98,0.0,0.2,0.0,
ostrich tip ckd,145.0,28.49,1.0,2.57,0.0,0.0,0.0,6.0,2.79,25,251.0,362.0,80.0,4.85,0.152,0.019,37.5,0.0,0.2319999999999999,0.292,7.143,0.545,15.0,6.25,0.0,0.23,0.0,
ostrich top loin raw,119.0,21.67,1.2,2.95,0.0,0.0,0.0,6.0,3.13,22,214.0,312.0,81.0,3.76,0.1369999999999999,0.018,35.4,0.0,0.195,0.286,4.691,0.509,8.0,4.94,0.0,0.2,0.0,
ostrich top loin ckd,155.0,28.12,1.32,3.87,0.0,0.0,0.0,6.0,3.31,25,245.0,353.0,77.0,4.72,0.148,0.018,36.6,0.0,0.2289999999999999,0.289,7.051,0.5379999999999999,15.0,6.17,0.0,0.23,0.0,
chicken liver all classes ckd pan-fried,172.0,25.78,2.033,6.43,1.11,0.0,0.0,10.0,12.88,27,442.0,315.0,92.0,4.01,0.535,0.375,88.2,2.7,0.292,2.313,13.925,0.84,560.0,21.13,4296.0,0.77,0.0,
ground turkey fat free raw,112.0,23.57,0.487,1.95,0.0,0.0,0.0,3.0,0.77,29,227.0,295.0,51.0,1.76,0.0579999999999999,0.006,22.1,0.0,0.062,0.105,9.708,0.857,8.0,0.51,7.0,0.07,0.4,
ground turkey fat free pan-broiled crumbles,151.0,31.69,0.7170000000000001,2.71,0.0,0.0,0.0,6.0,1.02,35,290.0,357.0,61.0,2.2,0.067,0.006,31.4,0.0,0.0819999999999999,0.135,12.55,1.08,8.0,0.7,9.0,0.1,0.2,
ground turkey fat free patties brld,138.0,28.99,0.6729999999999999,2.48,0.0,0.0,0.0,6.0,0.78,35,264.0,339.0,59.0,2.19,0.061,0.006,28.0,0.0,0.067,0.145,10.707,0.908,7.0,0.67,8.0,0.09,0.2,
ground turkey 93 ln 7 fat raw,150.0,18.73,2.17,8.34,0.0,0.0,0.0,21.0,1.17,21,193.0,213.0,69.0,2.53,0.107,0.008,19.0,0.0,0.067,0.185,5.417000000000001,0.35,7.0,1.2,22.0,0.11,0.4,
ground turkey 93 ln 7 fat pan-broiled crumbles,213.0,27.1,2.966,11.6,0.0,0.0,0.0,31.0,1.56,29,259.0,304.0,90.0,3.77,0.166,0.01,28.4,0.0,0.088,0.262,8.095,0.497,7.0,1.9,30.0,0.18,0.2,
ground turkey 93 ln 7 fat patties brld,207.0,25.86,2.958,11.45,0.0,0.0,0.0,29.0,1.73,25,210.0,247.0,91.0,3.71,0.161,0.011,27.5,0.0,0.08,0.2319999999999999,6.64,0.471,7.0,1.8,31.0,0.13,0.2,
ground turkey 85 ln 15 fat raw,180.0,16.9,3.414,12.54,0.0,0.0,0.0,33.0,1.32,19,179.0,202.0,54.0,2.75,0.123,0.009,24.6,0.0,0.067,0.177,5.075,0.485,6.0,1.3,30.0,0.08,0.4,
ground turkey 85 ln 15 fat pan-broiled crumbles,258.0,25.11,4.572,17.45,0.0,0.0,0.0,49.0,1.98,28,263.0,276.0,85.0,3.56,0.1939999999999999,0.015,36.1,0.0,0.08,0.26,7.72,0.462,7.0,1.6,35.0,0.09,0.2,
ground turkey 85 ln 15 fat patties brld,249.0,25.88,4.127,16.2,0.0,0.0,0.0,48.0,2.04,25,235.0,242.0,81.0,3.25,0.256,0.016,35.1,0.0,0.067,0.2319999999999999,6.632000000000001,0.3829999999999999,7.0,1.4,29.0,0.07,0.2,
chicken broilers or fryers dk meat drumstk meat oly ckd brsd,149.0,23.93,1.601,5.95,0.0,0.0,0.0,12.0,0.94,22,184.0,239.0,117.0,2.54,0.063,0.018,27.9,0.0,0.088,0.18,5.046,0.372,5.0,0.41,7.0,0.17,0.1,
chicken broilers or fryers dk meat thigh meat only ckd brsd,176.0,24.55,2.346,8.63,0.0,0.0,0.0,12.0,1.27,25,201.0,266.0,77.0,1.87,0.049,0.017,29.2,0.0,0.087,0.182,5.742000000000001,0.436,5.0,0.42,8.0,0.17,0.3,
chicken skn (drumsticks  thighs) ckd brsd,443.0,14.61,11.914,42.76,0.0,0.0,0.0,9.0,1.0,14,130.0,161.0,75.0,0.74,0.04,0.018,16.0,0.0,0.05,0.055,3.4,0.179,3.0,0.45,48.0,0.19,0.1,
chicken skn (drumsticks  thighs) raw,440.0,9.58,12.102,44.23,0.79,0.0,0.0,6.0,0.37,8,95.0,119.0,51.0,0.65,0.038,0.0139999999999999,10.1,0.0,0.04,0.032,2.565,0.1159999999999999,2.0,0.65,59.0,0.27,0.2,
chicken skn (drumsticks  thighs) ckd rstd,462.0,16.57,12.146,43.99,0.0,0.0,0.0,10.0,0.9,16,151.0,181.0,85.0,0.86,0.045,0.02,17.4,0.0,0.052,0.062,3.917,0.1969999999999999,3.0,0.5,54.0,0.23,0.2,
chicken broilers or fryers dk meat drumstk mt  skn ckd brsd,187.0,22.72,2.939,10.73,0.0,0.0,0.0,12.0,0.94,21,177.0,229.0,111.0,2.3,0.06,0.018,26.4,0.0,0.083,0.1639999999999999,4.832,0.347,4.0,0.41,12.0,0.17,0.1,
chicken broilers or fryers dk meat thigh meat  skn ckd brsd,229.0,22.57,4.253,15.43,0.0,0.0,0.0,11.0,1.21,23,187.0,245.0,76.0,1.64,0.048,0.018,26.6,0.0,0.08,0.157,5.276,0.385,4.0,0.43,16.0,0.17,0.3,
chicken dk meat drumstk meat only w added soln raw,106.0,19.19,0.954,3.26,0.0,0.0,0.0,9.0,0.72,16,143.0,192.0,152.0,2.0,0.061,0.01,22.4,0.0,0.098,0.243,4.94,0.385,3.0,0.42,8.0,0.4,0.2,
chicken dk meat drumstk meat only w added soln ckd rstd,146.0,25.34,1.4380000000000002,5.0,0.0,0.0,0.0,12.0,1.1,20,197.0,250.0,190.0,2.64,0.08,0.009,30.8,0.0,0.102,0.297,5.912999999999999,0.413,4.0,0.41,6.0,0.23,0.1,
chicken dk meat drumstk meat only w added soln ckd brsd,149.0,22.99,1.73,6.33,0.0,0.0,0.0,14.0,0.78,21,170.0,229.0,169.0,2.34,0.049,0.0139999999999999,29.8,0.0,0.08,0.16,5.07,0.31,4.0,0.31,7.0,0.17,0.1,
chicken dk meat thigh meat only w added soln ckd brsd,164.0,23.0,2.04,7.96,0.0,0.0,0.0,12.0,1.07,24,203.0,290.0,197.0,1.86,0.052,0.017,27.2,0.0,0.08,0.14,6.33,0.308,4.0,0.34,8.0,0.24,0.3,
chicken dk meat thigh meat only w added soln raw,110.0,19.11,0.899,3.69,0.0,0.0,0.0,8.0,0.6,21,175.0,234.0,156.0,1.53,0.053,0.009,20.9,0.0,0.087,0.23,5.3,0.433,3.0,0.56,6.0,0.26,0.1,
chicken dk meat thigh meat only w added soln ckd rstd,164.0,24.23,2.405,7.73,0.0,0.0,0.0,10.0,0.98,24,202.0,268.0,177.0,1.9,0.074,0.011,33.7,0.0,0.091,0.272,6.343,0.444,4.0,0.37,8.0,0.36,0.3,
chicken skn (drumsticks  thighs) w added soln ckd brsd,403.0,12.26,10.605,38.94,1.0,0.0,0.0,14.0,0.65,12,112.0,146.0,139.0,0.63,0.0289999999999999,0.016,15.6,0.0,0.05,0.04,3.3,0.144,2.0,0.27,44.0,0.18,0.1,
chicken skn (drumsticks  thighs) w added soln raw,386.0,11.11,10.565,37.9,0.01,0.0,0.0,7.0,0.51,7,88.0,101.0,139.0,0.62,0.03,0.006,10.8,0.0,0.035,0.06,2.655,0.113,2.0,0.68,56.0,0.44,0.4,
chicken skn (drumsticks  thighs) w added soln ckd rstd,421.0,20.31,11.0,37.6,0.44,0.0,0.0,15.0,1.17,18,176.0,198.0,162.0,1.51,0.068,0.013,20.0,0.0,0.057,0.125,4.045,0.185,3.0,0.56,53.0,0.45,0.1,
chicken dk meat drumstk meat  skn w added soln ckd brsd,183.0,21.55,2.923,10.71,0.13,0.0,0.0,14.0,0.76,20,162.0,218.0,165.0,2.11,0.046,0.0139999999999999,27.9,0.0,0.076,0.144,4.832,0.288,4.0,0.3,12.0,0.17,0.1,
chicken dk meat drumstk meat  skn w added soln raw,146.0,18.03,2.334,8.24,0.0,0.0,0.0,8.0,0.69,15,135.0,179.0,150.0,1.8,0.057,0.009,20.8,0.0,0.089,0.217,4.612,0.346,3.0,0.45,15.0,0.4,0.2,
chicken dk meat drumstk meat  skn w added soln ckd rstd,180.0,24.72,2.656,9.0,0.05,0.0,0.0,13.0,1.11,20,194.0,244.0,186.0,2.5,0.079,0.01,29.5,0.0,0.096,0.276,5.684,0.385,4.0,0.43,12.0,0.26,0.2,
chicken dk meat thigh meat  skn w added soln ckd brsd,215.0,20.7,3.881,14.62,0.21,0.0,0.0,12.0,0.98,21,183.0,259.0,185.0,1.6,0.047,0.016,24.7,0.0,0.074,0.119,5.678999999999999,0.273,4.0,0.32,15.0,0.23,0.3,
chicken dk meat thigh meat  skn w added soln raw,197.0,16.56,3.975,14.58,0.0,0.0,0.0,8.0,0.57,16,147.0,191.0,151.0,1.24,0.046,0.008,17.7,0.0,0.071,0.176,4.458,0.331,3.0,0.6,22.0,0.32,0.2,
chicken dk meat thigh meat  skn w added soln ckd rstd,214.0,23.47,4.145,13.81,0.09,0.0,0.0,11.0,1.02,23,197.0,254.0,174.0,1.82,0.073,0.011,31.1,0.0,0.084,0.243,5.898,0.3939999999999999,4.0,0.41,17.0,0.38,0.3,
chicken broiler rotisserie bbq back meat only,212.0,21.85,3.613,13.87,0.31,0.0,0.31,33.0,0.82,18,212.0,263.0,563.0,1.74,0.067,0.0,41.1,0.0,0.069,0.181,5.175,0.121,7.0,0.61,15.0,0.24,0.0,
turkey dk meat from whl meat only w added soln raw,115.0,19.27,1.124,4.12,0.1,0.0,0.1,15.0,0.9,21,191.0,226.0,167.0,2.68,0.106,0.01,22.4,0.0,0.06,0.247,5.745,0.425,6.0,2.05,13.0,0.12,0.3,
turkey dk meat meat only w added soln ckd rstd,158.0,26.1,1.807,6.0,0.0,0.0,0.0,16.0,1.07,24,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.0559999999999999,0.335,6.827000000000001,0.435,8.0,1.65,5.0,0.07,0.3,
turkey from whl lt meat meat only w added soln raw,101.0,21.54,0.536,1.66,0.0,0.0,0.05,14.0,0.54,25,236.0,242.0,206.0,1.3,0.052,0.0069999999999999,22.7,0.0,0.033,0.145,9.924,0.775,7.0,0.63,6.0,0.06,0.1,
turkey from whl lt meat meat only w added soln ckd rstd,127.0,26.97,0.593,2.08,0.0,0.0,0.0,13.0,0.55,30,255.0,249.0,238.0,1.49,0.062,0.011,30.2,0.0,0.038,0.208,11.75,0.6970000000000001,9.0,1.7,3.0,0.06,0.3,
turkey skn from whl (light  dark) w added soln raw,381.0,12.29,10.43,36.8,0.21,0.0,0.1,13.0,0.57,9,99.0,107.0,138.0,0.82,0.046,0.008,10.1,0.0,0.016,0.095,3.26,0.16,4.0,0.88,85.0,0.09,1.1,
turkey skn from whl (light  dark) w added soln rstd,451.0,22.15,11.356,40.31,0.0,0.0,0.0,25.0,1.08,28,244.0,263.0,234.0,1.61,0.068,0.025,21.1,0.0,0.024,0.235,7.295,0.29,7.0,1.59,79.0,0.15,1.4,
turkey dk meat from whl meat  skn w added soln raw,169.0,17.84,2.6,10.83,0.15,0.0,0.1,14.0,0.83,18,172.0,202.0,161.0,2.3,0.094,0.01,19.9,0.0,0.051,0.216,5.235,0.37,6.0,1.81,28.0,0.11,0.5,
turkey dk meat from whl meat  skn w added soln ckd rstd,199.0,25.55,3.145,10.81,0.0,0.0,0.0,17.0,1.08,25,213.0,232.0,206.0,3.15,0.119,0.018,30.0,0.0,0.052,0.321,6.893,0.415,8.0,1.64,16.0,0.08,0.4,
turkey from whl lt meat meat  skn w added soln raw,147.0,20.02,1.35,7.42,0.14,0.0,0.06,14.0,0.54,22,214.0,220.0,195.0,1.22,0.051,0.0069999999999999,20.6,0.0,0.03,0.1369999999999999,8.832,0.675,6.0,0.67,19.0,0.07,0.3,
turkey from whl lt meat meat  skn w added soln ckd rstd,157.0,26.52,1.5930000000000002,5.64,0.0,0.0,0.0,14.0,0.6,30,254.0,250.0,237.0,1.5,0.062,0.013,29.3,0.0,0.036,0.211,11.336,0.659,8.0,1.69,10.0,0.07,0.4,
turkey whl meat only w added soln raw,105.0,20.87,0.535,2.39,0.14,0.0,0.06,14.0,0.64,24,223.0,237.0,194.0,1.7,0.068,0.008,22.6,0.0,0.0409999999999999,0.175,8.69,0.672,7.0,1.05,8.0,0.08,0.2,
turkey whl meat only w added soln rstd,140.0,26.61,1.093,3.7,0.0,0.0,0.0,14.0,0.77,27,235.0,239.0,223.0,2.28,0.089,0.0139999999999999,30.7,0.0,0.045,0.261,9.721,0.589,8.0,1.68,4.0,0.06,0.3,
turkey whl meat  skn w added soln raw,158.0,19.03,1.7,9.1,0.15,0.0,0.08,14.0,0.67,21,195.0,211.0,180.0,1.68,0.069,0.008,20.2,0.0,0.039,0.17,7.246,0.54,6.0,1.16,23.0,0.09,0.4,
turkey whl meat  skn w added soln rstd,176.0,26.09,2.301,8.01,0.0,0.0,0.0,15.0,0.81,27,236.0,242.0,224.0,2.2,0.087,0.015,29.6,0.0,0.043,0.257,9.436,0.5539999999999999,8.0,1.67,13.0,0.07,0.4,
turkey rtl parts breast meat only w added soln raw,111.0,21.99,0.6,2.53,0.0,0.0,0.0,8.0,0.41,25,181.0,237.0,124.0,1.1,0.043,0.005,22.3,0.0,0.049,0.155,10.0,0.84,7.0,0.33,5.0,0.1,0.2,
turkey rtl parts breast meat only w added soln ckd rstd,130.0,27.94,0.428,2.08,0.0,0.0,0.0,15.0,0.59,27,219.0,264.0,184.0,1.33,0.057,0.006,28.9,0.0,0.045,0.195,11.5,0.7340000000000001,9.0,0.3,3.0,0.08,0.1,
turkey rtl parts breast meat only raw,114.0,23.34,0.344,2.33,0.0,0.0,0.0,9.0,0.76,27,185.0,267.0,74.0,1.16,0.054,0.006,22.1,0.0,0.052,0.165,10.295,0.8140000000000001,7.0,1.35,5.0,0.09,0.2,
turkey rtl parts breast meat only ckd rstd,136.0,29.51,0.66,1.97,0.0,0.0,0.0,14.0,0.97,28,253.0,297.0,114.0,1.52,0.06,0.005,30.7,0.0,0.043,0.19,11.75,0.83,9.0,1.76,3.0,0.06,0.2,
turkey rtl parts wing meat only raw,112.0,22.48,0.4579999999999999,2.49,0.0,0.0,0.0,6.0,0.6,19,147.0,222.0,69.0,2.61,0.047,0.005,21.6,0.0,0.038,0.127,6.377000000000001,0.705,7.0,0.92,5.0,0.11,0.2,
turkey rtl parts wing meat only ckd rstd,170.0,30.17,1.357,5.51,0.0,0.0,0.0,12.0,0.82,21,180.0,207.0,103.0,3.24,0.059,0.004,30.6,0.0,0.039,0.18,8.47,0.654,10.0,1.25,8.0,0.17,0.7,
turkey skn from rtl parts from dk meat raw,380.0,14.35,10.216,35.83,0.0,0.0,0.0,4.0,0.76,7,80.0,93.0,78.0,0.88,0.0409999999999999,0.003,11.2,0.0,0.026,0.08,2.745,0.114,5.0,1.95,79.0,0.08,0.7,
turkey skn from rtl parts from dk meat ckd rstd,414.0,24.58,10.184,35.03,0.0,0.0,0.0,6.0,1.65,24,230.0,225.0,106.0,1.65,0.057,0.009,20.2,0.0,0.046,0.235,5.4,0.287,8.0,1.85,59.0,0.13,0.8,
turkey rtl parts drumstk meat only raw,118.0,20.52,1.073,3.97,0.0,0.0,0.0,10.0,1.18,22,158.0,220.0,87.0,3.12,0.0819999999999999,0.006,21.2,0.0,0.051,0.3,5.003,0.361,6.0,1.9,20.0,0.19,0.4,
turkey rtl parts thigh meat only raw,116.0,20.6,0.782,3.69,0.0,0.0,0.0,4.0,1.42,22,177.0,269.0,75.0,2.95,0.083,0.006,21.5,0.0,0.059,0.307,6.183,0.482,7.0,2.17,19.0,0.18,0.5,
turkey breast from whl bird meat only w added soln rstd,127.0,26.97,0.593,2.08,0.0,0.0,0.0,13.0,0.55,30,255.0,249.0,238.0,1.49,0.062,0.011,30.2,0.0,0.038,0.208,11.75,0.6970000000000001,7.0,0.79,3.0,0.06,0.3,
turkey back from whl bird meat only w added soln raw,115.0,19.27,1.124,4.12,0.15,0.0,0.1,15.0,0.9,21,191.0,226.0,167.0,2.68,0.106,0.01,22.4,0.0,0.06,0.247,5.745,0.425,6.0,2.05,13.0,0.12,0.3,
turkey back from whl bird meat only w added soln rstd,127.0,26.97,0.593,2.08,0.0,0.0,0.0,13.0,0.55,30,255.0,249.0,238.0,1.49,0.062,0.011,30.2,0.0,0.038,0.208,11.75,0.6970000000000001,6.0,1.7,3.0,0.06,0.3,
turkey breast from whl bird meat only w added soln raw,102.0,21.54,0.536,1.66,0.14,0.0,0.05,14.0,0.54,25,236.0,242.0,206.0,1.3,0.052,0.0069999999999999,22.7,0.0,0.033,0.145,9.924,0.775,7.0,0.63,6.0,0.06,0.1,
turkey rtl parts thigh meat only ckd rstd,159.0,25.14,2.02,6.25,0.46,0.0,0.0,4.0,1.59,23,200.0,296.0,104.0,3.26,0.094,0.006,29.3,0.0,0.05,0.3229999999999999,6.903,0.484,8.0,1.63,6.0,0.07,0.3,
turkey rtl parts drumstk meat only ckd rstd,173.0,28.61,1.707,6.52,0.0,0.0,0.0,17.0,1.57,24,193.0,257.0,112.0,4.5,0.1119999999999999,0.0069999999999999,31.0,0.0,0.065,0.353,5.593,0.41,9.0,2.53,6.0,0.07,0.3,
turkey drumstk from whl bird meat only w added soln raw,115.0,19.27,1.124,4.12,0.15,0.0,0.1,15.0,0.9,21,191.0,226.0,167.0,2.68,0.106,0.01,22.4,0.0,0.06,0.247,5.745,0.425,6.0,2.05,13.0,0.12,0.3,
turkey drumstk from whl bird meat only w added soln rstd,158.0,26.1,1.807,6.0,0.0,0.0,0.0,16.0,1.07,24,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.0559999999999999,0.335,6.827000000000001,0.435,8.0,1.65,5.0,0.07,0.3,
turkey thigh from whl bird meat only w added soln raw,115.0,19.27,1.124,4.12,0.15,0.0,0.1,15.0,0.9,21,191.0,226.0,167.0,2.68,0.106,0.01,22.4,0.0,0.06,0.247,5.745,0.425,6.0,2.05,13.0,0.12,0.3,
turkey rtl parts breast meat  skn w added soln raw,144.0,20.79,1.24,6.75,0.03,0.0,0.01,9.0,0.43,23,171.0,221.0,126.0,1.07,0.043,0.005,20.8,0.0,0.045,0.148,9.171,0.7559999999999999,7.0,0.4,15.0,0.1,0.3,
turkey thigh from whl bird meat only w added soln rstd,158.0,26.1,1.807,6.0,0.0,0.0,0.0,16.0,1.07,24,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.0559999999999999,0.335,6.827000000000001,0.435,8.0,1.65,5.0,0.07,0.3,
turkey wing from whl bird meat only w added soln raw,102.0,21.54,0.536,1.66,0.14,0.0,0.05,14.0,0.54,25,236.0,242.0,206.0,1.3,0.052,0.0069999999999999,22.7,0.0,0.033,0.145,9.924,0.775,7.0,0.63,6.0,0.06,0.1,
turkey wing from whl bird meat only w added soln rstd,127.0,26.97,0.593,2.08,0.0,0.0,0.0,13.0,0.55,30,255.0,249.0,238.0,1.49,0.062,0.011,30.2,0.0,0.038,0.208,11.75,0.6970000000000001,9.0,1.7,3.0,0.06,0.3,
turkey rtl parts breast meat  skn raw,155.0,21.88,1.756,7.45,0.0,0.0,0.0,9.0,0.77,24,176.0,247.0,72.0,1.15,0.054,0.006,20.4,0.0,0.048,0.157,9.4,0.7240000000000001,7.0,1.28,16.0,0.09,0.3,
turkey rtl parts breast meat  skn ckd rstd,164.0,29.01,1.6569999999999998,5.33,0.05,0.0,0.0,15.0,1.03,29,251.0,292.0,114.0,1.57,0.064,0.006,29.8,0.0,0.042,0.1989999999999999,11.614,0.789,9.0,1.75,10.0,0.07,0.3,
turkey rtl parts wing meat  skn raw,202.0,19.53,3.549,13.79,0.05,0.0,0.03,8.0,0.68,17,139.0,192.0,67.0,2.14,0.049,0.0069999999999999,18.0,0.0,0.033,0.121,5.61,0.5379999999999999,6.0,0.91,30.0,0.1,0.5,
turkey rtl parts wing meat  skn ckd rstd,235.0,28.74,3.656,13.29,0.13,0.0,0.0,14.0,1.0,24,192.0,215.0,106.0,2.99,0.07,0.0069999999999999,28.4,0.0,0.037,0.205,8.876,0.59,9.0,1.36,24.0,0.17,0.8,
turkey rtl parts drumstk meat  skn raw,141.0,19.96,1.896,6.84,0.0,0.0,0.0,9.0,1.14,21,151.0,208.0,86.0,2.92,0.079,0.006,20.3,0.0,0.049,0.28,4.8,0.3389999999999999,6.0,1.9,26.0,0.18,0.5,
turkey rtl parts drumstk meat  skn ckd rstd,197.0,28.21,2.307,9.37,0.0,0.0,0.0,16.0,1.58,24,196.0,254.0,112.0,4.22,0.107,0.0069999999999999,29.9,0.0,0.063,0.341,5.574,0.3979999999999999,9.0,2.46,11.0,0.08,0.3,
turkey drumstk from whl bird meat only raw,109.0,23.66,0.289,1.48,0.14,0.0,0.05,11.0,0.73,28,201.0,242.0,113.0,1.28,0.07,0.011,22.7,0.0,0.042,0.145,9.924,0.813,7.0,0.63,6.0,0.06,0.1,
turkey drumstk from whl bird meat only rstd,139.0,30.13,0.593,2.08,0.0,0.0,0.0,9.0,0.71,32,230.0,249.0,99.0,1.72,0.063,0.011,30.2,0.0,0.035,0.205,11.75,0.807,10.0,1.9,3.0,0.06,0.3,
turkey thigh from whl bird meat only raw,108.0,21.28,0.6829999999999999,2.5,0.15,0.0,0.1,11.0,1.04,25,176.0,226.0,124.0,2.59,0.092,0.0139999999999999,22.4,0.0,0.062,0.255,5.696000000000001,0.44,0.0,2.05,13.0,0.12,0.3,
turkey thigh from whl bird meat only rstd,165.0,27.71,1.807,6.04,0.0,0.0,0.0,17.0,1.43,27,212.0,227.0,104.0,3.51,0.127,0.016,31.4,0.0,0.06,0.375,6.685,0.4379999999999999,9.0,1.65,5.0,0.07,0.3,
turkey rtl parts thigh meat  skn raw,161.0,19.54,2.386,9.16,0.0,0.0,0.0,4.0,1.31,20,161.0,239.0,75.0,2.6,0.076,0.006,19.8,0.0,0.053,0.268,5.599,0.419,6.0,2.13,29.0,0.16,0.5,
turkey rtl parts thigh meat  skn ckd rstd,183.0,23.95,2.96,9.5,0.41,0.0,0.0,4.0,1.5,21,187.0,273.0,101.0,3.0,0.089,0.006,27.3,0.0,0.047,0.297,6.446000000000001,0.444,8.0,1.67,14.0,0.07,0.3,
turkey back from whl bird meat  skn w added soln raw,206.0,16.86,2.73,15.41,0.15,0.0,0.1,14.0,0.78,17,159.0,185.0,157.0,2.04,0.085,0.009,18.1,0.0,0.045,0.1939999999999999,4.887,0.3329999999999999,5.0,1.65,38.0,0.11,0.6,
turkey back from whl bird meat  skn w added soln rstd,205.0,25.8,3.205,11.36,0.0,0.0,0.0,15.0,0.68,29,252.0,252.0,237.0,1.52,0.063,0.015,28.0,0.0,0.034,0.215,10.669,0.598,6.0,1.68,22.0,0.09,0.5,
chickn broilr or fryrs brst sknlss bnless meat only ckd brsd,157.0,32.06,1.01,3.24,0.0,0.0,0.0,6.0,0.49,32,241.0,343.0,47.0,0.96,0.044,0.012,31.9,0.0,0.098,0.187,9.45,0.921,0.0,0.2,10.0,0.33,0.0,
chckn brolr or fryrs brst sknlss bnless meat only ckd grilld,151.0,30.54,0.992,3.17,0.0,0.0,0.0,5.0,0.45,34,258.0,391.0,52.0,0.9,0.042,0.012,28.4,0.0,0.107,0.213,12.133,1.157,0.0,0.21,10.0,0.54,0.0,
ckn brler or fryers brst sknls bnls mt only w added sln brsd,145.0,28.24,1.193,3.61,0.0,0.0,0.0,5.0,0.43,28,217.0,313.0,172.0,0.8,0.034,0.011,40.2,0.0,0.075,0.1669999999999999,9.173,0.962,0.0,0.17,9.0,0.42,0.0,
ckn brlerfryers brst sknls bnls mt only w added sln grilled,148.0,29.5,1.012,3.39,0.0,0.0,0.0,6.0,0.43,31,249.0,420.0,215.0,0.82,0.034,0.011,42.4,0.0,0.079,0.2269999999999999,11.067,0.984,0.0,0.2,10.0,0.33,0.0,
soup crm of asparagus cnd cond,69.0,1.82,0.82,3.26,8.52,0.4,0.72,23.0,0.64,3,31.0,138.0,669.0,0.7,0.1,0.3,1.9,2.2,0.043,0.062,0.62,0.01,19.0,0.04,26.0,0.49,0.0,
soup black bean cnd cond,91.0,4.83,0.34,1.32,15.42,6.8,2.49,35.0,1.5,33,75.0,250.0,970.0,1.1,0.3,0.5,0.0,0.2,0.042,0.039,0.41,0.07,66.0,0.0,22.0,0.36,0.0,
campbell's red  white beefy mushroom soup cond,40.0,2.38,0.397,1.59,4.76,0.0,0.79,0.0,0.29,0,0.0,48.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
soup bean w pork cnd cond,129.0,5.88,1.14,4.42,16.97,5.9,3.0,60.0,1.53,33,98.0,375.0,672.0,0.77,0.3,0.5,6.4,1.2,0.065,0.025,0.421,0.031,24.0,0.03,34.0,0.87,0.0,
soup bean w frankfurters cnd cond,142.0,7.6,1.61,5.31,16.75,4.6,0.0,66.0,1.78,37,126.0,363.0,831.0,0.9,0.3,0.6,6.9,0.7,0.083,0.049,0.78,0.1,24.0,0.06,33.0,0,0.0,
soup bean w ham cnd chunky rts,95.0,5.19,1.37,3.5,11.16,4.6,0.0,32.0,1.33,19,59.0,175.0,400.0,0.44,0.16,0.29,6.9,1.8,0.06,0.06,0.7,0.05,12.0,0.03,81.0,0,0.0,
soup bf broth or bouillon cnd rts,7.0,1.14,0.11,0.22,0.04,0.0,0.0,6.0,0.17,2,13.0,54.0,372.0,0.0,0.0,0.01,0.7,0.0,0.002,0.021,0.78,0.01,2.0,0.07,0.0,0,0.0,
soup bf noodle cnd cond,67.0,3.85,0.91,2.46,7.16,0.6,2.06,12.0,0.88,5,37.0,79.0,653.0,1.23,0.11,0.218,5.9,0.3,0.055,0.047,0.8490000000000001,0.03,4.0,0.16,11.0,1,0.0,
soup crm of celery cnd cond,72.0,1.32,1.12,4.46,7.03,0.6,1.35,32.0,0.5,5,30.0,98.0,516.0,0.12,0.113,0.2,1.8,0.2,0.023,0.039,0.265,0.01,2.0,0.04,22.0,1.39,0.0,
soup chs cnd cond,82.0,0.8,2.45,3.92,11.3,2.2,3.73,36.0,0.15,12,33.0,37.0,692.0,0.15,0.1,0.2,3.6,0.2,0.013,0.105,0.31,0.02,3.0,0.0,69.0,0.56,0.0,
